Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,15.070000,15.130000,15.050000,15.090000,15.090000,38300
2019-11-04,15.070000,15.090000,15.020000,15.050000,15.050000,103100
2019-11-05,14.910000,15.070000,14.780000,14.820000,14.820000,191500
2019-11-06,14.850000,14.890000,14.840000,14.870000,14.870000,31400
2019-11-07,14.840000,14.840000,14.580000,14.650000,14.650000,102600
2019-11-08,14.590000,14.640000,14.560000,14.560000,14.560000,58100
2019-11-11,14.580000,14.590000,14.460000,14.520000,14.520000,40300
2019-11-12,14.510000,14.570000,14.430000,14.560000,14.560000,37300
2019-11-13,14.600000,14.630000,14.590000,14.610000,14.610000,13600
2019-11-14,14.660000,14.720000,14.620000,14.660000,14.660000,12200
2019-11-15,14.620000,14.660000,14.610000,14.640000,14.640000,18600
2019-11-18,14.660000,14.710000,14.650000,14.690000,14.690000,124600
2019-11-19,14.630000,14.710000,14.630000,14.680000,14.680000,18000
2019-11-20,14.690000,14.720000,14.640000,14.700000,14.700000,33300
2019-11-21,14.660000,14.660000,14.590000,14.610000,14.610000,31500
2019-11-22,14.660000,14.660000,14.590000,14.590000,14.590000,17200
2019-11-25,14.550000,14.570000,14.510000,14.520000,14.520000,24600
2019-11-26,14.500000,14.590000,14.500000,14.580000,14.580000,48900
2019-11-27,14.520000,14.530000,14.500000,14.510000,14.510000,20600
2019-11-29,14.530000,14.610000,14.520000,14.610000,14.610000,8100
